host,role_id,S_seq,rare_transition_hits,n_events,S_seq_z,S_seq_pvalue,S_seq_percentile,S_freq,S_ctx,severity_mean,severity_max,n_pairs_x,cmdline_novelty,S_drift,S_seq_drift_cov,seq_drift_correlation,score,gate_pass,gate_reason,n_pairs_y,weighted_score_sum,max_pair_weight,n_tactics,top_tactic,triage_rank,shrinkage_weight,shrinkage_delta,evasion_signal
l2-eng-win10-4,ics,0.08978012096761645,10,299967,1350.441,0.0,100.0,0.9642857142857143,0.915837625792378,0.7746053333333334,1.0,23,0.8897068386158545,0.0,0.0,,1.0,True,extreme_channel,23,236037.88086956524,0.363,7,execution,1,3.333222225925803e-05,0.0,False
l4-distrib-1,ics,0.0931393702873052,4,85617,1403.793,0.0,100.0,0.9285714285714286,0.8814669167990477,0.8044467306812986,0.9,3,0.6008859839643866,0.0,0.0,,0.9642857142857143,True,multi_channel,3,42209.80434782608,0.1674,2,defense_evasion,2,0.00010390905879174546,0.0,False
l5-mail,mail,0.03415531202081211,3,224825,2332.613,0.0,100.0,0.8928571428571429,0.9333995386775679,0.7893353333333334,1.0,27,0.9773262578504521,0.0,0.0,,0.9285714285714286,True,multi_channel,27,91011.78499999999,0.75,7,unknown,3,3.333222225925803e-05,0.0,False
l5-smtp,mail,0.036433503118578695,3,55740,2488.967,0.0,100.0,0.8571428571428572,0.9245623539370772,0.8114289973707749,1.0,26,0.8742243648389646,0.0,0.0,,0.8928571428571429,True,multi_channel,26,30754.014999999992,0.5,7,execution,4,0.00013550869965851808,0.0,False
l3-eng-win7-2,ics,0.10383988257172198,4,6798,1573.741,0.0,100.0,0.75,0.9103970002755317,0.7851815656825429,1.0,16,0.9987931661033596,0.0,0.0,,0.8571428571428571,True,multi_channel,16,253.02630434782617,0.7,6,persistence,5,0.001027643613194944,0.0,False
l3-eng-win7-1,ics,0.13188244412095695,3,3588,2019.118,0.0,100.0,0.6785714285714286,0.9059591267903369,0.806479217603912,1.0,15,0.9987655590640099,0.0,0.0,,0.8214285714285714,True,low_support,15,201.98913043478265,0.7,6,lateral_movement,6,0.0020333468889792597,0.0,False
l5-dc,dc,0.0002196692678790979,1,256134,5.766,0.0,100.0,0.7857142857142857,0.9273001386712608,0.779557,1.0,26,0.9562202578150807,0.0,-0.0,,0.75,True,multi_channel,26,219938.88999999998,0.95,7,execution,7,3.333222225925803e-05,0.0,False
l1-eng-067,ics,0.11458683522709259,2,2143,161.273,0.0,100.0,0.7142857142857143,0.5903055954088953,0.8010186513629842,0.9,3,1.0,0.0,0.0,,0.0,False,low_support,3,90.09239130434781,0.1674,2,unknown,8,0.002861230329041488,0.0,False
l4-maint-2,ics,0.003610674914963635,19,265396,-18.119,1.0,0.0,0.5714285714285714,0.9017349556925085,0.7908697841570241,1.0,29,0.7631601363026754,0.0,-0.0,,0.0,False,low_support,29,690424.0026086958,1.0,7,execution,9,3.6226108881192855e-05,0.0,False
l4-distrib-2,ics,0.0025413899369853424,19,261641,-35.102,1.0,0.0,0.0,0.9013237475718248,0.7898275957137868,1.0,23,0.7625031257179256,0.0,-0.0,,0.0,False,low_support,23,654449.9065217393,0.3304,7,execution,10,3.6758624492271496e-05,0.0,False
l4-energy-mgt-2,ics,0.002736095994868896,19,263534,-32.01,1.0,0.0,0.1785714285714286,0.9017087946558464,0.7906074907925523,1.0,24,0.7635103161205389,0.0,-0.0,,0.0,False,low_support,24,684391.5019565219,0.363,7,execution,11,3.649994707507674e-05,0.0,False
l4-maint-1,ics,0.002877550979830452,19,262602,-29.763,1.0,0.0,0.2142857142857143,0.9017594409309684,0.7905388721383065,1.0,24,0.763985195263177,0.0,-0.0,,0.0,False,low_support,24,687413.5032608696,0.363,7,execution,12,3.6634196557118206e-05,0.0,False
l4-prod-sched-1,ics,0.0028373077692501426,19,261458,-30.402,1.0,0.0,0.3928571428571429,0.901589454881984,0.7903151720206681,1.0,24,0.7632993551718906,0.0,-0.0,,0.0,False,low_support,24,673289.2517391306,0.363,7,execution,13,3.6774846005332355e-05,0.0,False
l4-pipe-ctrl-2,ics,0.00282244332998395,19,262276,-30.638,1.0,0.0,0.0714285714285714,0.9015574961735412,0.7904599628038693,1.0,24,0.7627967155492036,0.0,-0.0,,0.0,False,low_support,24,673968.6373913045,0.363,7,execution,14,3.668122911462517e-05,0.0,False
l4-pipe-ctrl-1,ics,0.00283266877059711,19,262159,-30.476,1.0,0.0,0.4642857142857143,0.9016296529799108,0.7905478130399533,1.0,24,0.7631020604528322,0.0,-0.0,,0.0,False,low_support,24,675351.4595652175,0.363,7,execution,15,3.66833820610925e-05,0.0,False
l4-prod-sched-2,ics,0.002836253667143128,19,264744,-30.419,1.0,0.0,0.25,0.902081428632724,0.7910070595591229,1.0,24,0.7651954050999143,0.0,-0.0,,0.0,False,low_support,24,687199.8767391306,0.363,7,execution,16,3.635068230230681e-05,0.0,False
