host,S_ctx,severity_mean,severity_max,n_pairs,cmdline_novelty
l1-eng-067,0.42735741366732105,0.622901878914405,0.75,3,1.0
l2-eng-win10-4,0.34595613418993354,0.5840752306077047,0.75,25,0.9329460417405722
l3-eng-win7-1,0.20988396818761298,0.5588692140416278,0.95,15,0.999531600784664
l3-eng-win7-2,0.20988310219929712,0.5261781338360038,0.95,14,0.9993921768128846
l4-distrib-1,0.654859898892106,0.647638898871559,0.75,3,0.7722918979792371
l4-distrib-2,0.12360217124827935,0.5906265950713571,0.75,23,0.8593454014583499
l4-energy-mgt-2,0.07319933623103642,0.5906771034791637,0.75,24,0.8588679252336548
l4-maint-1,0.11891585270620082,0.590418795625086,0.75,24,0.8594157047653949
l4-maint-2,0.346843042669703,0.5902378755766113,0.95,29,0.8591772685173733
l4-pipe-ctrl-1,0.12262384128069415,0.5904572148721114,0.75,24,0.8586936065361894
l4-pipe-ctrl-2,0.22625924833970965,0.590912299727855,0.75,23,0.858361016772725
l4-prod-sched-1,0.16412095445459718,0.5905979928587163,0.75,24,0.8588314178211292
l4-prod-sched-2,0.07890346077298432,0.5899174042490812,0.75,24,0.8604027821948599
l4-safety-1,0.1781835253117546,0.5903909614631692,0.75,24,0.8591121023320133
l4-safety-2,0.12549184347159886,0.5907718797030839,0.75,24,0.8586247437716616
l5-compl-1,0.08138432318155583,0.5835304937168495,0.75,23,0.868075506920848
l5-compl-2,0.07955418875985067,0.5840452938566569,0.75,23,0.8678105742725373
l5-cust-svc-1,0.07714146279841719,0.583835650375904,0.75,23,0.8674669291028895
l5-cust-svc-2,0.07874644690612455,0.5838310054736803,0.75,21,0.867694824693464
l5-dc,0.20803068095831395,0.4640132279764771,0.95,26,0.9766405911739038
l5-dns,0.2,0.5766637964026023,0.65,15,0.8492385607591937
l5-hr-1,0.32005320641998214,0.583671347000434,0.75,23,0.8734593074547183
l5-hr-2,0.0755547702581536,0.5842233324214982,0.75,23,0.8672443210228112
l5-mail,0.3487171655114707,0.5344714876203234,0.95,27,0.9874510746704471
l5-smtp,0.7849677105778475,0.6157552772943936,0.95,26,0.9159321405204757
l5-sup-chain-1,0.41257409289302654,0.5809367390759952,0.95,24,0.8753938568924482
l5-sup-chain-2,0.2,0.5850063451175741,0.95,27,0.8651915215110623
unknown,0.16922000649452795,0.5641755634638197,0.7,2,1.0
