host,S_drift
l1-eng-067,0.16589316443810173
l2-eng-win10-4,5.239002608806707e-06
l3-eng-win7-1,0.09150840700714277
l3-eng-win7-2,0.09285169199783107
l4-distrib-1,0.029781170355140257
l4-distrib-2,0.008567444450744317
l4-energy-mgt-2,0.00866570963491408
l4-maint-1,0.009095333181813296
l4-maint-2,0.008926244317652522
l4-pipe-ctrl-1,0.009297617932064796
l4-pipe-ctrl-2,0.008520058760413212
l4-prod-sched-1,0.008372606324881926
l4-prod-sched-2,0.008531802830228077
l4-safety-1,0.008663820971237926
l4-safety-2,0.008767142998375495
l5-compl-1,0.007942967379997775
l5-compl-2,0.008040019079764895
l5-cust-svc-1,0.007869442720121389
l5-cust-svc-2,0.008271333706944148
l5-dc,0.019801995755448283
l5-dns,0.05314565813133131
l5-hr-1,0.010070516550814382
l5-hr-2,0.008409432523727202
l5-mail,4.446399016110075e-06
l5-smtp,0.02005366670682892
l5-sup-chain-1,0.008848821675228139
l5-sup-chain-2,0.00798635267457448
unknown,0.1968178835195435
