host,role_id,S_seq,rare_transition_hits,n_events,S_seq_z,S_seq_x_null,S_seq_percentile,S_seq_fold_med,S_seq_pvalue
l1-eng-067,ics,0.008904094965233908,0,1510,69.768,80.16,99.9,0.008087,0.8571
l2-eng-win10-4,ics,0.00030458381984211676,0,14455390,21363.07,33696.32,99.9,0.000305,0.4286
l3-eng-win7-1,ics,0.01225439940272456,0,2338,123.972,176.23,99.9,0.00919,1.0
l3-eng-win7-2,ics,0.032350735998382,0,4406,644.573,1014.28,99.9,0.03205,0.5714
l4-distrib-1,ics,0.0027416113581487144,0,61860,911.313,1298.27,99.9,0.002504,0.8571
l4-distrib-2,ics,0.0013248590395911262,0,188345,1347.541,2005.81,99.9,0.001344,0.7143
l4-energy-mgt-2,ics,0.001168005134522364,0,188889,1193.329,1775.75,99.9,0.001296,0.2857
l4-maint-1,ics,0.001014824244171573,0,188764,1041.826,1548.72,99.9,0.001012,0.8571
l4-maint-2,ics,0.0011885610932852889,0,192836,1237.979,1840.95,99.9,0.001239,0.1429
l4-pipe-ctrl-1,ics,0.0009930447059002896,0,188389,1011.86,1508.25,99.9,0.000989,1.0
l4-pipe-ctrl-2,ics,0.0012592087544991623,0,187906,1369.007,1959.81,99.9,0.001309,0.8571
l4-prod-sched-1,ics,0.0013110720577045039,0,187617,1334.087,1982.24,99.9,0.001393,0.2857
l4-prod-sched-2,ics,0.0012821707964753132,0,190271,1322.071,1980.75,99.9,0.001268,1.0
l4-safety-1,ics,0.0012024100902027176,0,189057,1307.53,1872.13,99.9,0.001191,0.5714
l4-safety-2,ics,0.0011022588738412954,0,188408,1123.752,1678.65,99.9,0.001199,0.5714
l5-compl-1,ics,0.0012746523461574341,0,202786,1460.766,2140.04,99.9,0.001346,0.5714
l5-compl-2,ics,0.0011440304129994893,0,202009,1300.126,1896.02,99.9,0.001123,0.8571
l5-cust-svc-1,ics,0.0012389784802791124,0,202224,1419.629,2053.26,99.9,0.001259,0.4286
l5-cust-svc-2,ics,0.0011553773286921958,0,202626,1372.606,1985.81,99.9,0.001186,0.7143
l5-dc,dc,0.0,0,240597,0.0,0.0,0.0,0.0,1.0
l5-dns,dns,0.0,0,42407,0.0,0.0,0.0,0.0,1.0
l5-hr-1,ics,0.0013140746398742147,0,169663,1221.026,1815.23,99.9,0.001204,0.5714
l5-hr-2,ics,0.0011074316894109863,0,200582,1250.13,1840.35,99.9,0.001161,0.4286
l5-mail,mail,0.0001991492127795167,0,461357,476.216,701.18,99.9,0.000128,0.8571
l5-smtp,mail,0.012033228531361677,0,47047,3199.942,4499.09,99.9,0.013186,0.4286
l5-sup-chain-1,ics,0.0015593618251241227,0,179937,1551.79,2278.48,99.9,0.001559,0.2857
l5-sup-chain-2,ics,0.001333158895502904,0,203613,1586.567,2252.07,99.9,0.001476,0.7143
unknown,workstation,0.0,0,859,0.0,0.0,0.0,0.0,1.0
