host,role_id,S_seq,rare_transition_hits,n_events,S_seq_z,S_seq_x_null,S_seq_percentile,S_seq_fold_med,S_seq_pvalue,S_freq,S_ctx,severity_mean,severity_max,n_pairs_x,cmdline_novelty,S_drift,S_seq_drift_cov,seq_drift_correlation,score,gate_pass,gate_reason,n_pairs_y,weighted_score_sum,max_pair_weight,n_tactics,top_tactic,triage_rank,shrinkage_weight,shrinkage_delta,evasion_signal
l1-eng-067,ics,0.008904094965233908,0,1510,69.768,80.16,99.9,0.008087,0.8571,0.1785714285714286,0.42735741366732105,0.622901878914405,0.75,3,1.0,0.16589316443810173,2.404513316785942,0.3966,1.0,True,extreme_channel,3,64.89239130434781,0.1674,2,unknown,1,0.004158004158004158,-0.004932904932904932,False
l3-eng-win7-2,ics,0.032350735998382,0,4406,644.573,1014.28,99.9,0.03205,0.5714,0.0714285714285714,0.20988310219929712,0.5261781338360038,0.95,14,0.9993921768128846,0.09285169199783107,5.7434861024798645,0.3966,0.9642857142857143,True,extreme_channel,14,150.77543478260873,0.7,6,persistence,2,0.0015683814303638645,-0.001403386771716373,False
l3-eng-win7-1,ics,0.01225439940272456,0,2338,123.972,176.23,99.9,0.00919,1.0,0.1428571428571429,0.20988396818761298,0.5588692140416278,0.95,15,0.999531600784664,0.09150840700714277,1.7406415056661102,0.3966,0.9285714285714286,True,extreme_channel,15,131.15543478260872,0.7,6,lateral_movement,3,0.003096934035305048,-0.00278888115009813,False
l5-sup-chain-1,ics,0.0015593618251241227,0,179937,1551.79,2278.48,99.9,0.001559,0.2857,0.7142857142857143,0.41257409289302654,0.5809367390759952,0.95,24,0.8753938568924482,0.008848821675228139,0.10786992427824779,0.3966,0.8928571428571429,True,multi_channel,24,112765.12173913047,0.7,7,execution,4,5.3278492005562275e-05,-8.564705779230106e-05,False
l5-smtp,mail,0.012033228531361677,0,47047,3199.942,4499.09,99.9,0.013186,0.4286,0.1071428571428571,0.7849677105778475,0.6157552772943936,0.95,26,0.9159321405204757,0.02005366670682892,0.0,0.3966,0.8214285714285714,True,multi_channel,26,19076.179999999997,0.7,7,execution,5,0.0001891145656038428,-0.0002887141805735272,False
l5-mail,mail,0.0001991492127795167,0,461357,476.216,701.18,99.9,0.000128,0.8571,0.9285714285714286,0.3487171655114707,0.5344714876203234,0.95,27,0.9874510746704471,4.446399016110075e-06,0.2788391435580503,0.3966,0.7321428571428571,True,multi_channel,27,408364.0350000001,0.75,7,unknown,6,2.1674530908964804e-05,-3.331584577511548e-05,False
l2-eng-win10-4,ics,0.00030458381984211676,0,14455390,21363.07,33696.32,99.9,0.000305,0.4286,0.9642857142857143,0.34595613418993354,0.5840752306077047,0.75,25,0.9329460417405722,5.239002608806707e-06,0.26916846932906274,0.3966,0.7321428571428571,True,extreme_channel,25,13195322.953913046,0.5126,8,execution,7,6.917828579390003e-07,-3.335729610373008e-07,False
l4-distrib-1,ics,0.0027416113581487144,0,61860,911.313,1298.27,99.9,0.002504,0.8571,0.0357142857142857,0.654859898892106,0.647638898871559,0.75,3,0.7722918979792371,0.029781170355140257,0.0,0.3966,0.6785714285714286,True,multi_channel,3,20654.235869565215,0.1674,2,unknown,8,0.00014372978799856272,-0.00023118117064875853,False
l5-sup-chain-2,ics,0.001333158895502904,0,203613,1586.567,2252.07,99.9,0.001476,0.7143,0.8214285714285714,0.2,0.5850063451175741,0.95,27,0.8651915215110623,0.00798635267457448,0.12749807567544882,0.3966,0.6428571428571429,True,multi_channel,27,135574.31673913047,0.7,7,execution,9,4.734938161707608e-05,-7.505263556816715e-05,False
l4-distrib-2,ics,0.0013248590395911262,0,188345,1347.541,2005.81,99.9,0.001344,0.7143,0.4107142857142857,0.12360217124827935,0.5906265950713571,0.75,23,0.8593454014583499,0.008567444450744317,0.12458643206335805,0.3966,0.0,False,low_support,23,126576.46152173915,0.5126,7,execution,10,5.103967824586834e-05,-8.031630961683839e-05,False
l4-energy-mgt-2,ics,0.001168005134522364,0,188889,1193.329,1775.75,99.9,0.001296,0.2857,0.4107142857142857,0.07319933623103642,0.5906771034791637,0.75,24,0.8588679252336548,0.00866570963491408,0.13414834776102655,0.3966,0.0,False,low_support,24,128534.42021739134,0.5126,7,execution,11,5.089213920017914e-05,-7.815843572013214e-05,False
l4-maint-1,ics,0.001014824244171573,0,188764,1041.826,1548.72,99.9,0.001012,0.8571,0.4107142857142857,0.11891585270620082,0.590418795625086,0.75,24,0.8594157047653949,0.009095333181813296,0.1410815563359008,0.3966,0.0,False,low_support,24,129410.87500000003,0.5126,7,execution,12,5.093958056349364e-05,-7.949293365365042e-05,False
l4-prod-sched-1,ics,0.0013110720577045039,0,187617,1334.087,1982.24,99.9,0.001393,0.2857,0.5714285714285714,0.16412095445459718,0.5905979928587163,0.75,24,0.8588314178211292,0.008372606324881926,0.12665318825061872,0.3966,0.0,False,low_support,24,128619.83304347828,0.5126,7,execution,13,5.122609662266345e-05,-7.911461399489082e-05,False
l4-pipe-ctrl-2,ics,0.0012592087544991623,0,187906,1369.007,1959.81,99.9,0.001309,0.8571,0.4107142857142857,0.22625924833970965,0.590912299727855,0.75,23,0.858361016772725,0.008520058760413212,0.12914625505412636,0.3966,0.0,False,low_support,23,128323.17413043481,0.5126,7,execution,14,5.1152465037290144e-05,-7.849036895506094e-05,False
l4-pipe-ctrl-1,ics,0.0009930447059002896,0,188389,1011.86,1508.25,99.9,0.000989,1.0,0.4107142857142857,0.12262384128069415,0.5904572148721114,0.75,24,0.8586936065361894,0.009297617932064796,0.14104600779221332,0.3966,0.0,False,low_support,24,129126.91630434785,0.5126,7,execution,15,5.1020147856388485e-05,-7.950770678779258e-05,False
l4-maint-2,ics,0.0011885610932852889,0,192836,1237.979,1840.95,99.9,0.001239,0.1429,0.5357142857142857,0.346843042669703,0.5902378755766113,0.95,29,0.8591772685173733,0.008926244317652522,0.13115384052680454,0.3966,0.0,False,low_support,29,132614.94108695656,1.0,7,execution,16,4.9866606826738476e-05,-8.255040081372286e-05,False
l4-prod-sched-2,ics,0.0012821707964753132,0,190271,1322.071,1980.75,99.9,0.001268,1.0,0.25,0.07890346077298432,0.5899174042490812,0.75,24,0.8604027821948599,0.008531802830228077,0.12757864611389982,0.3966,0.0,False,low_support,24,130412.42239130437,0.5126,7,execution,17,5.054564018580577e-05,-7.887571692654491e-05,False
l4-safety-1,ics,0.0012024100902027176,0,189057,1307.53,1872.13,99.9,0.001191,0.5714,0.2857142857142857,0.1781835253117546,0.5903909614631692,0.75,24,0.8591121023320133,0.008663820971237926,0.1319344174948617,0.3966,0.0,False,low_support,24,129151.27934782612,0.5126,7,execution,18,5.0844269088209725e-05,-7.91676920122115e-05,False
l4-safety-2,ics,0.0011022588738412954,0,188408,1123.752,1678.65,99.9,0.001199,0.5714,0.4107142857142857,0.12549184347159886,0.5907718797030839,0.75,24,0.8586247437716616,0.008767142998375495,0.13772665454118235,0.3966,0.0,False,low_support,24,128634.91065217394,0.5126,7,execution,19,5.101390128810101e-05,-7.910802295491468e-05,False
l5-compl-1,ics,0.0012746523461574341,0,202786,1460.766,2140.04,99.9,0.001346,0.5714,0.8214285714285714,0.08138432318155583,0.5835304937168495,0.75,23,0.868075506920848,0.007942967379997775,0.1316725754454649,0.3966,0.0,False,low_support,23,134039.40478260873,0.5126,7,execution,20,4.7525354776773406e-05,-7.601379477972105e-05,False
l5-dc,dc,0.0,0,240597,0.0,0.0,0.0,0.0,1.0,0.8928571428571429,0.20803068095831395,0.4640132279764771,0.95,26,0.9766405911739038,0.019801995755448283,0.09737048224444103,0.3966,0.0,False,low_support,26,113661.985,0.95,7,execution,21,3.64795750859094e-05,-5.913368838599942e-05,False
l5-cust-svc-2,ics,0.0011553773286921958,0,202626,1372.606,1985.81,99.9,0.001186,0.7143,0.8214285714285714,0.07874644690612455,0.5838310054736803,0.75,21,0.867694824693464,0.008271333706944148,0.13752578012227792,0.3966,0.0,False,low_support,21,133880.26891304352,0.3304,7,execution,22,4.755360480101194e-05,-7.580723800026609e-05,False
l5-cust-svc-1,ics,0.0012389784802791124,0,202224,1419.629,2053.26,99.9,0.001259,0.4286,0.75,0.07714146279841719,0.583835650375904,0.75,23,0.8674669291028895,0.007869442720121389,0.13451905012893986,0.3966,0.0,False,low_support,23,134567.867826087,0.5126,7,execution,23,4.764082628249104e-05,-7.56378945775013e-05,False
